"","label","publication_type","author","year","date_published","title","source","volume","issue","start_page","end_page","issn","pubmed_id","accession_number","orcid_id","researcher_id","abstract","doi","eissn","conference_name","conference_location","conference_date","conference_sponsor","supplement","article_number"
"13","Dal.Cin_2008","J","Dal Cin, Sonya and Worth, Keilah A. and Dalton, Madeline A. and Sargent, James D.",2008,"DEC 2008","Youth exposure to alcohol use and brand appearances in popular contemporary movies","ADDICTION",103,12,1925,1932,"0965-2140","18705684","WOS:000260731700003",NA,"Sargent, James D/I-2773-2013","To describe alcohol use and alcohol brand appearances in popular movies and estimate adolescents' exposure to this alcohol-related content. Nationally representative, random-digit dialed survey in the United States and content analysis of alcohol depictions in the top 100 US box office hits each year from 1998 to 2002 and 34 top movies from early 2003. A total of 6522 US adolescents aged 10-14 years. Frequency of alcohol use and brand appearances in movies by Motion Picture Association of America (MPAA) rating. Estimated exposure to minutes of movie alcohol use and brand appearances among US adolescents in this age group. Most movies (83%, including 56.6% of G/PG-rated movies) depicted alcohol use and 52% (including 19.2% of G/PG movies) contained at least one alcohol brand appearance, which consisted of branded use by an actor 30.3% of the time. These movies exposed the average US adolescent 10-14 years of age to 5.6 [95% confidence interval (CI) 5.4, 5.7] hours of movie alcohol use and 243.8 (95% CI 238, 250) alcohol brand appearances (5 billion in total), mainly from youth-rated movies. Exposure to movie alcohol content was significantly higher among African American youth than youth of other races. Alcohol use and brand appearances are portrayed frequently in popular US movies (which are distributed world-wide). Children and adolescents in the United States are exposed to hours of alcohol use depictions and numerous brand appearances in movies and most of this exposure is from movies rated for this segment of the population.","10.1111/j.1360-0443.2008.02304.x",NA,NA,NA,NA,NA,NA,NA
"14","De.Bellis_2000","J","De Bellis, MD and Clark, DB and Beers, SR and Soloff, PH and Boring, AM and Hall, J and Kersh, A and Keshavan, MS",2000,"MAY 2000","Hippocampal volume in adolescent-onset alcohol use disorders","AMERICAN JOURNAL OF PSYCHIATRY",157,5,737,744,"0002-953X","10784466","WOS:000086781800012",NA,"anand, amit/A-7222-2009","Objective: Alcohol use disorders (defined as DSM-IV alcohol dependence or abuse) are prevalent and serious problems among adolescents. As adolescence is marked by progressive hippocampal development, this brain region may be particularly susceptible to the adverse effects of adolescent alcohol use disorders. This study compared the hippocampal volumes of adolescents and young adults with adolescent-onset alcohol use disorders to those of healthy matched comparison subjects. Method: Magnetic resonance imaging was used to measure the hippocampal volumes and volumes of comparison brain regions in 12 subjects with alcohol use disorders and 24 comparison subjects matched on age, sex, and handedness. Results: Both left and right hippocampal volumes were significantly smaller in subjects with alcohol use disorders than in comparison subjects. Total hippocampal pal volume correlated positively with the age at onset and negatively with the duration of the alcohol use disorder, intracranial, cerebral, and cortical gray and white matter Volumes and measures of the mid-sagittal area of the corpus callosum did not differ between groups. Conclusions: In the mature brain, chronic alcohol use disorders are associated with graded global brain dysmorphology. Although the etiology, neuropsychological consequences, and permanence of these hippocampal findings need to be further examined, these findings suggest that, during adolescence, the hippocampus may be particularly susceptible to the adverse effects of alcohol.","10.1176/appi.ajp.157.5.737",NA,"38th Annual Meeting of the American-College-of-Neuropsychopharmacology","ACAPULO, MEXICO","DEC 13-16, 1999","Amer Coll Neuropsychopharmacol",NA,NA
"15","Ellickson_2005","J","Ellickson, PL and Collins, RL and Hambarsoomians, K and McCaffrey, DF",2005,"FEB 2005","Does alcohol advertising promote adolescent drinking? Results from a longitudinal assessment","ADDICTION",100,2,235,246,"0965-2140","15679753","WOS:000226977000014",NA,NA,"Aims To examine the relationship between exposure to different forms of alcohol advertising and subsequent drinking among US adolescents and assess whether exposure to an alcohol and drug prevention program mitigates any such relationship. Design Regression models with multiple control variables examined the relationship between exposure to alcohol advertising in grade 8 and grade 9 drinking for two groups of South Dakotan adolescents: (1) seventh-grade no-drinkers (n = 1206) and (2) seventh-grade drinkers (n = 1905). Interactions between the intervention program and the significant advertising predictors were tested. Setting Forty-one middle schools in South Dakota, USA. Participants A total of 3111 seventh-graders followed through grade 9. Measurements Advertising variables were constructed for four types of alcohol advertising-television, in-store displays, magazines and concession stands. Other predictors tested included measures tapping social influences, social bonds, problem behavior, alcohol beliefs, television exposure and demographics. Findings For seventh-grade non-drinkers, exposure to in-store beer displays predicted drinking onset by grade 9; for seventh-grade drinkers, exposure to magazines with alcohol advertisements and to beer concession stands at sports or music events predicted frequency of grade 9 drinking. Although exposure to television beer advertising had a significant bivariate relationship with alcohol use for grade 7 non-drinkers, it was not a significant predictor of drinking for either group in multivariatc analyses. Participation in the prevention program. ALERT Plus, reduced future drinking for both groups and counteracted the effect of in-store beer displays. Conclusions Several forms of alcohol advertising predict adolescent drinking; which sources dominate depends on the child's prior experience with alcohol. Alcohol prevention programs and policies should help children counter alcohol advertising from multiple sources and limit exposure to these sources.","10.1111/j.1360-0443.2005.00974.x","1360-0443",NA,NA,NA,NA,NA,NA
"16","Englund_2008","J","Englund, Michelle M. and Egeland, Byron and Oliva, Elizabeth M. and Collins, W. Andrew",2008,"MAY 2008","Childhood and adolescent predictors of heavy drinking and alcohol use disorders in early adulthood: a longitudinal developmental analysis","ADDICTION",103,NA,23,35,"0965-2140","18426538","WOS:000255059600003","Englund, Michelle/0000-0002-3800-3157",NA,"Aims To identify childhood and adolescent factors differentiating heavy alcohol users in early adulthood from more moderate users or abstainers. Design Low-income participants followed from birth to age 28 years. Participants A total of 178 adults (95 males) who were first-born children of low-income mothers recruited in Minneapolis, Minnesota, during their third trimester of pregnancy. Measurements Maternal hostility (24/42 months), externalizing and internalizing behavior problems (9 years), peer acceptance and academic achievement (12 years), maternal alcohol use and participants' drinking behavior (16 years), quantity of alcohol use per occasion (19, 23 and 26 years), alcohol use disorders (28 years). Findings For men: (i) higher amounts of alcohol consumption at age 16 increased the odds of being a heavy drinker compared to an abstainer (age 19) and a moderate drinker (ages 23 and 26); (ii) lower achievement scores at age 12 and having a mother who drank more when the participant was age 16 increased the odds of being a heavy drinker compared to moderate drinker (age 26). Higher levels of externalizing behavior problems at age 9 and drinking more when the participants were age 16 increased the odds that men would have a current alcohol use disorder at age 28. For women: (i) drinking more at age 16 increased the odds of being a heavy drinker compared to being either an abstainer or a moderate drinker (age 26); (ii) having higher levels of achievement at age 12 increased the odds of being a heavy drinker compared to an abstainer at age 23. Adolescent alcohol use mediated the relation between externalizing behavior at age 9 and alcohol use at age 26 for women. Conclusions Problem drinking may be the result of a long-term developmental process wherein childhood externalizing behavior problems sets a pathway leading to heavy drinking during and after adolescence.","10.1111/j.1360-0443.2008.02174.x","1360-0443",NA,NA,NA,NA,"1",NA
"17","Fisher_2007","J","Fisher, Laurie B. and Miles, Isa Williams and Austin, Bryn and Camargo, Carlos A., Jr. and Colditz, Graham A.",2007,"OCT 2007","Predictors of initiation of alcohol use among US adolescents - Findings from a prospective cohort study","ARCHIVES OF PEDIATRICS & ADOLESCENT MEDICINE",161,10,959,966,"1072-4710","17909139","WOS:000249844400006","Colditz, Graham A/0000-0002-7307-0291; Camargo, Carlos and A./0000-0002-5071-7654","Colditz, Graham A/A-3963-2009; Camargo, Carlos A./C-2145-2008","Objective: To identify precursors of adolescent alcohol initiation and binge drinking. Design: Prospective cohort study. Setting: Self-report questionnaires. Participants: A total of 5511 Growing Up Today Study participants aged 11 to 18 years in 1998. Main Exposures: Individual, family, and social factors. Main Outcome Measures: First whole drink of alcohol and binge drinking. Results: Between 1998 and 1999, 611 girls (19%) and 384 boys (17%) initiated alcohol use. Older age, later maturational stage, smoking, adults drinking in the home, underage sibling drinking, peer drinking, possession of or willingness to use alcohol promotional items, and positive attitudes toward alcohol were associated with an increased likelihood of alcohol initiation. Girls who ate family dinner at home every day were less likely to initiate alcohol use than girls who ate family dinner only on some days or never ( odds ratio, 0.66; 95% confidence interval, 0.50-0.87). Girls with higher social self-esteem and boys with higher athletic self-esteem were more likely to initiate alcohol use than those with lower self-esteem. Among teens who initiated alcohol use, 149 girls (24%) and 112 boys (29%) further engaged in binge drinking. Among girls, positive attitudes toward alcohol, underage sibling drinking, and possession of or willingness to use alcohol promotional items were associated with binge drinking; among boys, positive attitudes toward alcohol and older age were associated with binge drinking. Conclusions: Eating family dinner at home every day may delay alcohol uptake among some adolescents. Alcohol promotional items appear to encourage underage alcohol initiation and binge drinking; this may warrant marketing restrictions on the alcohol industry.","10.1001/archpedi.161.10.959",NA,NA,NA,NA,NA,NA,NA
"18","Hanewinkel_2008","J","Hanewinkel, Reiner and Morgenstern, Matthis and Tanski, Susanne E. and Sargent, James D.",2008,"OCT 2008","Longitudinal study of parental movie restriction on teen smoking and drinking in Germany","ADDICTION",103,10,1722,1730,"0965-2140","18821879","WOS:000258969300019","Hanewinkel, Reiner/0000-0002-7163-5738","Sargent, James D/I-2773-2013; Hanewinkel, Reiner/","Aims To determine if adolescents who report that their parents restrict viewing movies based on rating have a lower risk of trying smoking and drinking alcohol in the future. Design Prospective observational study. A cohort of 2110 German adolescents younger than 15 years who had never smoked or drunk alcohol at baseline were surveyed 12-13 months later to determine smoking and binge drinking initiation. Risk of substance use was assessed as a function of parental restriction on viewing FSK-16 movies (movies that only those aged 16 years and over would be allowed to see in theaters). Findings The percentage of students who tried smoking was 16.3%, 10.9% initiated binge drinking and 5.0% used both substances during the follow-up period. There was a significant effect of parental movie restriction on each substance use outcome measure after controlling for covariates. Compared with adolescents whose parents never allowed them to view FSK-16 movies, the adjusted relative risk [(RR) (95% confidence interval (CI)] for use of both substances were 1.64 (1.05-2.58) for adolescents allowed to view them once in a while, 2.30 (1.53-3.45) for sometimes and 2.92 (1.83-4.67) for all the time. FSK-16 restrictions were associated with lower viewership of all classes of movies, but especially FSK-16/18 movies; in addition, FSK-16 restrictions were associated with substantially lower exposure to movie depiction of tobacco and alcohol use, suggesting a mediational mechanism for the association. Conclusions Among young adolescents, parental restriction from viewing movies rated for older adolescents/adults decreases the risk of substance use in the future.","10.1111/j.1360-0443.2008.02308.x","1360-0443",NA,NA,NA,NA,NA,NA
"19","Hanewinkel_2007","J","Hanewinkel, Reiner and Tanski, Susanne E. and Sargent, James D.",2007,"OCT 2007","Exposure to alcohol use in motion pictures and teen drinking in Germany","INTERNATIONAL JOURNAL OF EPIDEMIOLOGY",36,5,1068,1077,"0300-5771","17586537","WOS:000250680900023","Hanewinkel, Reiner/0000-0002-7163-5738","Sargent, James D/I-2773-2013; Hanewinkel, Reiner/","Background To assess whether movie alcohol exposure is associated with alcohol use during early adolescence. Methods We conducted a survey of adolescents (N = 5581) from 27 schools in Germany. Each was asked if he/she had seen a list of 50 movie titles, randomly selected from a sample of 398 US box office hits released there. Screen alcohol use was timed for each movie, summed for movies each adolescent had seen, and adjusted to reflect exposure to all 398 movies. We assessed the association between this exposure and any alcohol use without parental knowledge (WPK) and binge drinking (>=5 drinks). Results Alcohol use was depicted in 88% of the 398 movies. Median exposure to movie alcohol use was 3.44h (interquartile range 1.51-6.23h). Overall 36.6% of subjects used alcohol WPK and 18.1 reported binge drinking. Movie alcohol exposure was directly associated with alcohol use WPK and binge drinking, after controlling for multiple covariates including sociodemographics, personality characteristics and social influences. Compared with quartile one, the adjusted odds of alcohol use WPK were 1.47 [95% confidence interval (CI) 1.19-1.82], 2.12 (1.75-2.57) and 2.95 (2.35-3.70) for quartiles 2, 3 and 4, respectively; similarly, adjusted odds of binge drinking were 1.42 (0.93-2.28), 1.84 (1.27-2.67) and 2.59 (1.70-3.95). Conclusion This study demonstrates an association between exposure to alcohol use in US movies and alcohol use without parental knowledge in Germany, and is the first study to link movie exposure with binge drinking. Given international distribution of US movies, depicted behaviours may influence adolescents outside the country of origin.","10.1093/ije/dym128","1464-3685",NA,NA,NA,NA,NA,NA
"20","Henriksen_2008","J","Henriksen, Lisa and Feighery, Ellen C. and Schleicher, Nina C. and Fortmann, Stephen P.",2008,"JAN 2008","Receptivity to alcohol marketing predicts initiation of alcohol use","JOURNAL OF ADOLESCENT HEALTH",42,1,28,35,"1054-139X","18155027","WOS:000252001500005",NA,NA,"Purpose: This longitudinal study examined the influence of alcohol advertising and promotions on the initiation of alcohol use. A measure of receptivity to alcohol marketing was developed from research about tobacco marketing. Recall and recognition of alcohol brand names were also examined. Methods: Data were obtained from in-class surveys of sixth, seventh, and eighth graders at baseline and 12-month follow-up. Participants who were classified as never drinkers at baseline (n = 1,080) comprised the analysis sample. Logistic regression models examined the association of advertising receptivity at baseline with any alcohol use and current drinking at follow-up, adjusting for multiple risk factors, including peer alcohol use, school performance, risk taking, and demographics. Results: At baseline, 29% of never drinkers either owned or wanted to use an alcohol branded promotional item (high receptivity), 12% students named the brand of their favorite alcohol ad (moderate receptivity), and 59% were not receptive to alcohol marketing. Approximately 29% of adolescents reported any alcohol use at follow-up; 13% reported drinking at least 1 or 2 days in the past month. Never drinkers who reported high receptivity to alcohol marketing at baseline were 77% more likely to initiate drinking by follow-up than those were not receptive. Smaller increases in the odds of alcohol use at follow-up were associated with better recall and recognition of alcohol brand names at baseline. Conclusions: Alcohol advertising and promotions are associated with the uptake of drinking. Prevention programs may reduce adolescents' receptivity to alcohol marketing by limiting their exposure to alcohol ads and promotions and by increasing their skepticism about the sponsors' marketing tactics. 0 2008 Society for Adolescent Medicine. All rights reserved.","10.1016/j.jadohealth.2007.07.005",NA,NA,NA,NA,NA,NA,NA
"21","Hurtz_2007","J","Hurtz, Shannon Q. and Henriksen, Lisa and Wang, Yun and Feighery, Ellen C. and Fortmann, Stephen P.",2007,"MAR-APR 2007","The relationship between exposure to alcohol advertising in stores, owning alcohol promotional items, and adolescent alcohol use","ALCOHOL AND ALCOHOLISM",42,2,143,149,"0735-0414","17218364","WOS:000246015000015",NA,NA,"Aim: This paper describes adolescents' exposure to alcohol advertising in stores and to alcohol-branded promotional items and their association with self-reported drinking. Methods: A cross-sectional survey was administered in non-tracked required courses to sixth, seventh, and eighth graders (n = 2125) in three California middle schools. Logistic regressions compared the odds of ever (vs. never) drinking and current (vs. ever) drinking after controlling for psychosocial and other risk factors for adolescent alcohol use. Results: Two-thirds of middle school students reported at least weekly visits to liquor, convenience, or small grocery stores where alcohol advertising is widespread. Such exposure was associated with higher odds of ever drinking, but was not associated with current drinking. One-fifth of students reported owning at least one alcohol promotional item. These students were three times more likely to have ever tried drinking and 1.5 times more likely to report current drinking than students without such items. Conclusions: This study provides clear evidence of an association of adolescent drinking with weekly exposure to alcohol advertising in stores and with ownership of alcohol promotional items. Given their potential influence on adolescent drinking behaviour, retail ads, and promotional items for alcohol deserve further study.","10.1093/alcal/agl119",NA,NA,NA,NA,NA,NA,NA
"22","Jefferis_2005","J","Jefferis, BJMH and Power, C and Manor, O",2005,"APR 2005","Adolescent drinking level and adult binge drinking in a national birth cohort","ADDICTION",100,4,543,549,"0965-2140","15784069","WOS:000227867100021","Jefferis, Barbara/0000-0002-0850-3177; Jefferis, Barbara and JMH/0000-0002-0850-3177","Jefferis, Barbara/AAE-5186-2020; Jefferis, Barbara JMH/C-1786-2008","Aims To assess (i) continuities in binge drinking across adulthood and (ii) the association between adolescent drinking level and adult binge drinking. Design Population-based prospective birth cohort. Setting England, Scotland and Wales. Participants All births during one week in March 1958 (n = 8520 in analysis). Measurements Alcohol consumption reported at 16, 23, 33 and 42 years. Binge drinkers were identified by dividing number of units of alcohol consumed in the last week by usual drinking frequency, with limits of >= 10 units/occasion for men and >= 7 for women. Findings Four in five cohort members drank alcohol at least twice a month. Prevalences of binge drinking at 23, 33 and 42 years among men were 37%, 28% and 31% and among women 18%, 13% and 14%. Most binge drinkers in adulthood changed drinking status during this period. Nevertheless, binge drinking at age 23 increased the odds of binge drinking at 42 years: odds ratio (OR) 2.10 (95% CI 1.85, 2.39) for men; OR 1.56 (95% CI 1.29,1.89) for women. Women who rarely or never drank aged 16 were less likely than light drinkers (0-2 units/week) to binge drink as adults, OR at 23 years 0.65 (95% CI 0.55, 0.77). Men who were heavier drinkers (>= 7 units/week) at 16 years were more likely than light drinkers to binge drink throughout adulthood; at 42 years, OR 1.64 (95% CI 1.33, 2.08). Conclusions Binge drinking is common in British men and women throughout adulthood with continuities between the 20s and 40s. Adolescent drinking has a modest although important association with adult binge drinking.","10.1111/j.1360-0443.2005.01034.x","1360-0443",NA,NA,NA,NA,NA,NA
"23","Kuo_2003","J","Kuo, MC and Wechsler, H and Greenberg, P and Lee, H",2003,"OCT 2003","The marketing of alcohol to college students - The role of low prices and special promotions","AMERICAN JOURNAL OF PREVENTIVE MEDICINE",25,3,204,211,"0749-3797","14507526","WOS:000185720200004",NA,NA,"Background: Heavy episodic or binge drinking has been recognized as a major problem on American college campuses affecting the health, safety, and education of students. The present study examines the alcohol environment surrounding college campuses and assesses the impact on students' drinking. This environment includes alcohol promotions, price specials, and advertising at drinking establishments that serve beer for on-premise consumption as well as retail outlets that sell beer for off-premise consumption. Methods: The study used student self-report data from the 2001 College Alcohol Study (CAS) and direct observational assessments by trained observers who visited alcohol establishments in communities where the participating colleges were located. The analytic sample included more than 10,000 students as well as 830 on-premise and 1684 off-premise establishments at 118 colleges. Results: Alcohol specials, promotions, and advertisements were prevalent in the alcohol outlets around college campuses. Almost three quarters of on-premise establishments offered specials on weekends, and almost one half of the on-premise establishments and more than 60% of off-premise establishments provided at least one type of beer promotion. The availability of large volumes of alcohol (24- and 30-can cases of beer, kegs, party balls), low sale prices, and frequent promotions and advertisements at both on- and off-premise establishments were associated with higher binge drinking rates on the college campuses. In addition, an overall measure of on- and off-premise establishments was positively associated with the total number of drinks consumed. Conclusions: The regulation of marketing practices such as sale prices, promotions, and advertisements may be important strategies to reduce binge drinking and its accompanying problems.","10.1016/S0749-3797(03)00200-9","1873-2607",NA,NA,NA,NA,NA,NA
"24","Martin_2002","J","Martin, SE and Snyder, LB and Hamilton, M and Fleming-Milici, F and Slater, MD and Stacy, A and Chen, MJ and Grube, JW",2002,"JUN 2002","Alcohol advertising and youth","ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH",26,6,900,906,"0145-6008","12068260","WOS:000176421700020","Slater, Michael/0000-0003-4279-346X; Slater, Michael and D/0000-0003-4279-346X; Grube, Joel/0000-0003-1099-8743","Slater, Michael/A-5450-2011; Slater, Michael D/A-6994-2008; Grube, Joel/","This article presents the proceedings of a symposium at tire 2001 Research Society on Alcoholism meeting in Montreal, Canada. The symposium was organized and chaired by Joel W. Grube. The presentations and presenters were (1) Introduction and background, by Susan E. Martin; (2)The effect of alcohol ads on youth 15-26 years old, by Leslie Snyder, Mark Hamilton, Fran Fleming-Mitici, and Michael D. Slater; (3) A comparison of exposure to alcohol advertising and drinking behavior in elementary versus middle school children, by Phyllis L Ellickson and Rebecca L. Collins,; (4) USC health and advertising project: assessment study on alcohol advertisement memory and exposure, by Alan Stacy; and (5) TV beer and soft drink advertising: what young people like and what effects? by Meng-Jinn Chen and Joel W, Grube.","10.1097/00000374-200206000-00021",NA,NA,NA,NA,NA,NA,NA
